rank,university,city,field,branch,acceptance_rate,funding
3,University of the Philippines Manila,Manila,Environmental Science,Paleontology,51,"Public-private
partnership"
4,De La Salle University,Manila,Environmental Science,Paleontology,35,Private
5,University of Santo Tomas,Manila,Environmental Science,Paleontology,90,Private
6,Ateneo de Manila University,Quezon,Environmental Science,Paleontology,42,Private
7,Central Luzon State University,Science City of Munoz,Environmental Science,Paleontology,67,"Public-private
partnership"
8,Mapua University,Manila,Environmental Science,Paleontology,78,Private
9,Visayas State University,Baybay,Environmental Science,Paleontology,82,"Public-private
partnership"
10,Mindanao State University - Iligan Institute of Technology,Iligan,Environmental Science,Paleontology,40,"Public-private
partnership"
11,University of the Philippines in the Visayas,Iloilo,Environmental Science,Paleontology,12,"Public-private
partnership"
12,Silliman University,Dumaguete City,Environmental Science,Paleontology,64,Private
13,Central Mindanao University,Maramag,Environmental Science,Paleontology,74,"Public-private
partnership"
14,Asian Institute of Management,Makati,Environmental Science,Paleontology,60,Private
15,University of San Carlos,Cebu,Environmental Science,Paleontology,61,Private
16,Mindanao State University,Marawi,Environmental Science,Paleontology,53,"Public-private
partnership"
17,University of the East - Philippines,Manila,Environmental Science,Paleontology,70,Private
18,University of the Philippines Baguio,Baguio,Environmental Science,Paleontology,45,"Public-private
partnership"
19,Caraga State University,Butuan,Environmental Science,Paleontology,84,"Public-private
partnership"
20,Philippine Normal University,Manila,Environmental Science,Paleontology,50,"Public-private
partnership"
21,University of Southern Mindanao,Kabacan,Environmental Science,Paleontology,50,"Public-private
partnership"
22,Laguna State Polytechnic University,Sta. Cruz,Environmental Science,Paleontology,23,"Public-private
partnership"
23,West Visayas State University,Iloilo,Environmental Science,Paleontology,67,"Public-private
partnership"
24,Angeles University Foundation,Angeles,Environmental Science,Paleontology,80,Private
25,Polytechnic University of the Philippines,Manila,Environmental Science,Paleontology,40,"Public-private
partnership"
26,University of the Philippines Mindanao,Davao,Environmental Science,Paleontology,70,"Public-private
partnership"
27,Isabela State University,Echague,Environmental Science,Paleontology,88,"Public-private
partnership"
28,Cebu Normal University,Cebu,Environmental Science,Paleontology,71,"Public-private
partnership"
29,Leyte Normal University,Tacloban,Environmental Science,Paleontology,84,"Public-private
partnership"
30,University of Science and Technology of Southern Philippines,Cagayan de Oro,Environmental Science,Paleontology,80,"Public-private
partnership"
31,Lyceum of the Philippines University,Manila,Environmental Science,Paleontology,82,Private
32,Bulacan State University,Malolos,Environmental Science,Paleontology,52,"Public-private
partnership"
33,University of Asia and the Pacific,Pasig,Environmental Science,Paleontology,74,Private
34,Adamson University,Manila,Environmental Science,Paleontology,61,Private
35,Palawan State University,Puerto Princesa,Environmental Science,Paleontology,75,"Public-private
partnership"
36,University of Mindanao,Davao,Environmental Science,Paleontology,92,Private
37,Benguet State University,La Trinidad,Environmental Science,Paleontology,100,"Public-private
partnership"
38,Batangas State University,Batangas,Environmental Science,Paleontology,85,"Public-private
partnership"
39,Mariano Marcos State University,Batac,Environmental Science,Paleontology,82,"Public-private
partnership"
40,Surigao del Sur State University,Tandag,Environmental Science,Paleontology,83,"Public-private
partnership"
41,Liceo de Cagayan University,Cagayan de Oro,Environmental Science,Paleontology,86,Private
42,University of Southeastern Philippines,Davao,Environmental Science,Paleontology,100,"Public-private
partnership"
43,Nueva Vizcaya State University,Bayombong,Environmental Science,Paleontology,100,"Public-private
partnership"
44,University of Eastern Philippines,Catarman,Environmental Science,Paleontology,85,"Public-private
partnership"
45,Bukidnon State University,Malaybalay,Environmental Science,Paleontology,87,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Environmental Science,Petrology and Geochemistry,12,"Public-private
partnership"
2,De La Salle University,Manila,Environmental Science,Petrology and Geochemistry,35,Private
3,Mapua University,Manila,Environmental Science,Petrology and Geochemistry,78,Private
4,University of the Philippines Los Banos,Los Banos,Environmental Science,Petrology and Geochemistry,15,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Environmental Science,Wildlife and Fisheries Management,12,"Public-private
partnership"
2,University of the Philippines in the Visayas,Iloilo,Environmental Science,Wildlife and Fisheries Management,12,"Public-private
partnership"
3,University of the Philippines Los Banos,Los Banos,Environmental Science,Wildlife and Fisheries Management,15,"Public-private
partnership"
4,Central Luzon State University,Science City of Munoz,Environmental Science,Wildlife and Fisheries Management,67,"Public-private
partnership"
5,De La Salle University,Manila,Environmental Science,Wildlife and Fisheries Management,35,Private
6,Silliman University,Dumaguete City,Environmental Science,Wildlife and Fisheries Management,64,Private
7,University of the Philippines Manila,Manila,Environmental Science,Wildlife and Fisheries Management,51,"Public-private
partnership"
8,University of Santo Tomas,Manila,Environmental Science,Wildlife and Fisheries Management,90,Private
9,Ateneo de Manila University,Quezon,Environmental Science,Wildlife and Fisheries Management,42,Private
10,Mindanao State University - Iligan Institute of Technology,Iligan,Environmental Science,Wildlife and Fisheries Management,40,"Public-private
partnership"
11,Mindanao State University,Marawi,Environmental Science,Wildlife and Fisheries Management,53,"Public-private
partnership"
12,University of San Carlos,Cebu,Environmental Science,Wildlife and Fisheries Management,61,Private
13,Mapua University,Manila,Environmental Science,Wildlife and Fisheries Management,78,Private
14,Visayas State University,Baybay,Environmental Science,Wildlife and Fisheries Management,82,"Public-private
partnership"
15,Palawan State University,Puerto Princesa,Environmental Science,Wildlife and Fisheries Management,75,"Public-private
partnership"
16,University of the Philippines Mindanao,Davao,Environmental Science,Wildlife and Fisheries Management,70,"Public-private
partnership"
17,Central Mindanao University,Maramag,Environmental Science,Wildlife and Fisheries Management,74,"Public-private
partnership"
18,Caraga State University,Butuan,Environmental Science,Wildlife and Fisheries Management,84,"Public-private
partnership"
19,Surigao del Sur State University,Tandag,Environmental Science,Wildlife and Fisheries Management,83,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Overall,12,"Public-private
partnership"
2,De La Salle University,Manila,Liberal Arts & Social Sciences,Overall,35,Private
3,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Overall,42,Private
4,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Overall,51,"Public-private
partnership"
5,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Overall,90,Private
6,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Overall,15,"Public-private
partnership"
7,Asian Institute of Management,Makati,Liberal Arts & Social Sciences,Overall,60,Private
8,Mapua University,Manila,Liberal Arts & Social Sciences,Overall,78,Private
9,University of the East - Philippines,Manila,Liberal Arts & Social Sciences,Overall,70,Private
10,University of San Carlos,Cebu,Liberal Arts & Social Sciences,Overall,61,Private
11,University of Mindanao,Davao,Liberal Arts & Social Sciences,Overall,92,Private
12,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Overall,50,"Public-private
partnership"
13,Visayas State University,Baybay,Liberal Arts & Social Sciences,Overall,82,"Public-private
partnership"
14,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Overall,23,"Public-private
partnership"
15,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Overall,53,"Public-private
partnership"
16,Polytechnic University of the Philippines,Manila,Liberal Arts & Social Sciences,Overall,40,"Public-private
partnership"
17,Angeles University Foundation,Angeles,Liberal Arts & Social Sciences,Overall,80,Private
18,Lyceum of the Philippines University,Manila,Liberal Arts & Social Sciences,Overall,82,Private
19,Mindanao State University - Iligan Institute of Technology,Iligan,Liberal Arts & Social Sciences,Overall,40,"Public-private
partnership"
20,Silliman University,Dumaguete City,Liberal Arts & Social Sciences,Overall,64,Private
21,Central Luzon State University,Science City of Munoz,Liberal Arts & Social Sciences,Overall,67,"Public-private
partnership"
22,University of the Philippines in the Visayas,Iloilo,Liberal Arts & Social Sciences,Overall,12,"Public-private
partnership"
23,University of Asia and the Pacific,Pasig,Liberal Arts & Social Sciences,Overall,74,Private
24,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Overall,71,"Public-private
partnership"
25,Bulacan State University,Malolos,Liberal Arts & Social Sciences,Overall,52,"Public-private
partnership"
26,Technological Institute of the Philippines,Manila,Liberal Arts & Social Sciences,Overall,66,Private
27,Assumption College San Lorenzo,Makati,Liberal Arts & Social Sciences,Overall,84,Private
28,Caraga State University,Butuan,Liberal Arts & Social Sciences,Overall,84,"Public-private
partnership"
29,Leyte Normal University,Tacloban,Liberal Arts & Social Sciences,Overall,84,"Public-private
partnership"
30,West Visayas State University,Iloilo,Liberal Arts & Social Sciences,Overall,67,"Public-private
partnership"
31,Isabela State University,Echague,Liberal Arts & Social Sciences,Overall,88,"Public-private
partnership"
32,University of the Philippines Baguio,Baguio,Liberal Arts & Social Sciences,Overall,45,"Public-private
partnership"
33,Surigao del Sur State University,Tandag,Liberal Arts & Social Sciences,Overall,83,"Public-private
partnership"
34,Batangas State University,Batangas,Liberal Arts & Social Sciences,Overall,85,"Public-private
partnership"
35,Ateneo de Davao University,Davao,Liberal Arts & Social Sciences,Overall,50,Private
36,Adamson University,Manila,Liberal Arts & Social Sciences,Overall,61,Private
37,Samar State University,Catbalogan City,Liberal Arts & Social Sciences,Overall,92,"Public-private
partnership"
38,Palawan State University,Puerto Princesa,Liberal Arts & Social Sciences,Overall,75,"Public-private
partnership"
39,San Beda University,Manila,Liberal Arts & Social Sciences,Overall,63,Private
40,University of Perpetual Help System DALTA,Las Pinas,Liberal Arts & Social Sciences,Overall,56,Private
41,University of Science and Technology of Southern Philippines,Cagayan de Oro,Liberal Arts & Social Sciences,Overall,80,"Public-private
partnership"
42,Central Mindanao University,Maramag,Liberal Arts & Social Sciences,Overall,74,"Public-private
partnership"
43,Adventist International Institute of Advanced Studies,Silang,Liberal Arts & Social Sciences,Overall,73,Private
44,Benguet State University,La Trinidad,Liberal Arts & Social Sciences,Overall,100,"Public-private
partnership"
45,University of the Philippines Mindanao,Davao,Liberal Arts & Social Sciences,Overall,70,"Public-private
partnership"
46,De La Salle - College of Saint Benilde,Manila,Liberal Arts & Social Sciences,Overall,67,Private
47,Bukidnon State University,Malaybalay,Liberal Arts & Social Sciences,Overall,87,"Public-private
partnership"
48,University of Southern Mindanao,Kabacan,Liberal Arts & Social Sciences,Overall,50,"Public-private
partnership"
49,University of Southeastern Philippines,Davao,Liberal Arts & Social Sciences,Overall,100,"Public-private
partnership"
50,Liceo de Cagayan University,Cagayan de Oro,Liberal Arts & Social Sciences,Overall,86,Private
51,Adventist University of the Philippines,Cavite City,Liberal Arts & Social Sciences,Overall,87,Private
52,Mariano Marcos State University,Batac,Liberal Arts & Social Sciences,Overall,82,"Public-private
partnership"
53,University of Zamboanga,Zamboanga,Liberal Arts & Social Sciences,Overall,88,Private
54,University of San Jose-Recoletos,Cebu,Liberal Arts & Social Sciences,Overall,61,Private
55,Emilio Aguinaldo College,Manila,Liberal Arts & Social Sciences,Overall,92,Private
56,Don Mariano Marcos Memorial State University,Bacnotan,Liberal Arts & Social Sciences,Overall,50,"Public-private
partnership"
57,University of the Immaculate Conception,Davao,Liberal Arts & Social Sciences,Overall,74,Private
58,University of the City of Manila,Manila,Liberal Arts & Social Sciences,Overall,13,"Public-private
partnership"
59,Nueva Vizcaya State University,Bayombong,Liberal Arts & Social Sciences,Overall,100,"Public-private
partnership"
60,Ateneo de Zamboanga University,Zamboanga,Liberal Arts & Social Sciences,Overall,65,Private
61,Miriam College,Quezon,Liberal Arts & Social Sciences,Overall,73,Private
62,Sorsogon State College,Sorsogon,Liberal Arts & Social Sciences,Overall,81,"Public-private
partnership"
63,Bohol Island State University,Bilar,Liberal Arts & Social Sciences,Overall,72,"Public-private
partnership"
64,University of Eastern Philippines,Catarman,Liberal Arts & Social Sciences,Overall,85,"Public-private
partnership"
65,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Liberal Arts & Social Sciences,Overall,48,Private
66,University of Northern Philippines,Vigan City,Liberal Arts & Social Sciences,Overall,100,"Public-private
partnership"
67,Southern Luzon State University,Lucban,Liberal Arts & Social Sciences,Overall,86,"Public-private
partnership"
68,University of Bohol,Tagbilaran City,Liberal Arts & Social Sciences,Overall,76,Private
69,Far Eastern University in Philippines,Manila,Liberal Arts & Social Sciences,Overall,74,Private
70,Quirino State University,Diffun,Liberal Arts & Social Sciences,Overall,69,"Public-private
partnership"
71,Ateneo de Naga University,Naga,Liberal Arts & Social Sciences,Overall,57,Private
72,John B. Lacson Foundation Maritime University,Iloilo,Liberal Arts & Social Sciences,Overall,79,Private
73,University of Rizal System,Tanay,Liberal Arts & Social Sciences,Overall,43,"Public-private
partnership"
74,New Era University,Quezon,Liberal Arts & Social Sciences,Overall,90,Private
1,De La Salle University,Manila,Liberal Arts & Social Sciences,Aesthetics,35,Private
2,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Aesthetics,12,"Public-private
partnership"
3,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Aesthetics,42,Private
4,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Aesthetics,90,Private
5,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Aesthetics,15,"Public-private
partnership"
6,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Aesthetics,51,"Public-private
partnership"
1,De La Salle University,Manila,Liberal Arts & Social Sciences,Anthropology,35,Private
2,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Anthropology,12,"Public-private
partnership"
3,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Anthropology,90,Private
4,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Anthropology,42,Private
5,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Anthropology,51,"Public-private
partnership"
6,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Anthropology,50,"Public-private
partnership"
7,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Anthropology,15,"Public-private
partnership"
8,Asian Institute of Management,Makati,Liberal Arts & Social Sciences,Anthropology,60,Private
9,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Anthropology,71,"Public-private
partnership"
10,University of Mindanao,Davao,Liberal Arts & Social Sciences,Anthropology,92,Private
11,Mindanao State University - Iligan Institute of Technology,Iligan,Liberal Arts & Social Sciences,Anthropology,40,"Public-private
partnership"
12,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Anthropology,23,"Public-private
partnership"
13,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Anthropology,53,"Public-private
partnership"
14,Leyte Normal University,Tacloban,Liberal Arts & Social Sciences,Anthropology,84,"Public-private
partnership"
15,Polytechnic University of the Philippines,Manila,Liberal Arts & Social Sciences,Anthropology,40,"Public-private
partnership"
16,Bulacan State University,Malolos,Liberal Arts & Social Sciences,Anthropology,52,"Public-private
partnership"
17,Visayas State University,Baybay,Liberal Arts & Social Sciences,Anthropology,82,"Public-private
partnership"
18,West Visayas State University,Iloilo,Liberal Arts & Social Sciences,Anthropology,67,"Public-private
partnership"
19,Benguet State University,La Trinidad,Liberal Arts & Social Sciences,Anthropology,100,"Public-private
partnership"
20,Bukidnon State University,Malaybalay,Liberal Arts & Social Sciences,Anthropology,87,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Archaeology,12,"Public-private
partnership"
2,De La Salle University,Manila,Liberal Arts & Social Sciences,Archaeology,35,Private
3,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Archaeology,15,"Public-private
partnership"
4,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Archaeology,42,Private
5,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Archaeology,51,"Public-private
partnership"
6,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Archaeology,90,Private
7,Asian Institute of Management,Makati,Liberal Arts & Social Sciences,Archaeology,60,Private
8,Mapua University,Manila,Liberal Arts & Social Sciences,Archaeology,78,Private
9,Visayas State University,Baybay,Liberal Arts & Social Sciences,Archaeology,82,"Public-private
partnership"
10,University of San Carlos,Cebu,Liberal Arts & Social Sciences,Archaeology,61,Private
11,Lyceum of the Philippines University,Manila,Liberal Arts & Social Sciences,Archaeology,82,Private
12,Central Luzon State University,Science City of Munoz,Liberal Arts & Social Sciences,Archaeology,67,"Public-private
partnership"
13,University of the Philippines in the Visayas,Iloilo,Liberal Arts & Social Sciences,Archaeology,12,"Public-private
partnership"
14,Mindanao State University - Iligan Institute of Technology,Iligan,Liberal Arts & Social Sciences,Archaeology,40,"Public-private
partnership"
15,Silliman University,Dumaguete City,Liberal Arts & Social Sciences,Archaeology,64,Private
16,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Archaeology,53,"Public-private
partnership"
17,Polytechnic University of the Philippines,Manila,Liberal Arts & Social Sciences,Archaeology,40,"Public-private
partnership"
18,Caraga State University,Butuan,Liberal Arts & Social Sciences,Archaeology,84,"Public-private
partnership"
19,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Archaeology,50,"Public-private
partnership"
20,Technological Institute of the Philippines,Manila,Liberal Arts & Social Sciences,Archaeology,66,Private
21,Leyte Normal University,Tacloban,Liberal Arts & Social Sciences,Archaeology,84,"Public-private
partnership"
22,University of Asia and the Pacific,Pasig,Liberal Arts & Social Sciences,Archaeology,74,Private
23,Central Mindanao University,Maramag,Liberal Arts & Social Sciences,Archaeology,74,"Public-private
partnership"
24,Isabela State University,Echague,Liberal Arts & Social Sciences,Archaeology,88,"Public-private
partnership"
25,Angeles University Foundation,Angeles,Liberal Arts & Social Sciences,Archaeology,80,Private
26,Batangas State University,Batangas,Liberal Arts & Social Sciences,Archaeology,85,"Public-private
partnership"
27,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Archaeology,23,"Public-private
partnership"
28,Adamson University,Manila,Liberal Arts & Social Sciences,Archaeology,61,Private
29,University of the East - Philippines,Manila,Liberal Arts & Social Sciences,Archaeology,70,Private
30,Benguet State University,La Trinidad,Liberal Arts & Social Sciences,Archaeology,100,"Public-private
partnership"
31,Palawan State University,Puerto Princesa,Liberal Arts & Social Sciences,Archaeology,75,"Public-private
partnership"
32,University of Mindanao,Davao,Liberal Arts & Social Sciences,Archaeology,92,Private
33,University of Science and Technology of Southern Philippines,Cagayan de Oro,Liberal Arts & Social Sciences,Archaeology,80,"Public-private
partnership"
34,Surigao del Sur State University,Tandag,Liberal Arts & Social Sciences,Archaeology,83,"Public-private
partnership"
35,University of Perpetual Help System DALTA,Las Pinas,Liberal Arts & Social Sciences,Archaeology,56,Private
36,Ateneo de Davao University,Davao,Liberal Arts & Social Sciences,Archaeology,50,Private
37,Bulacan State University,Malolos,Liberal Arts & Social Sciences,Archaeology,52,"Public-private
partnership"
38,University of the Philippines Baguio,Baguio,Liberal Arts & Social Sciences,Archaeology,45,"Public-private
partnership"
39,Samar State University,Catbalogan City,Liberal Arts & Social Sciences,Archaeology,92,"Public-private
partnership"
40,University of Southern Mindanao,Kabacan,Liberal Arts & Social Sciences,Archaeology,50,"Public-private
partnership"
41,Emilio Aguinaldo College,Manila,Liberal Arts & Social Sciences,Archaeology,92,Private
42,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Archaeology,71,"Public-private
partnership"
43,University of the Philippines Mindanao,Davao,Liberal Arts & Social Sciences,Archaeology,70,"Public-private
partnership"
44,Don Mariano Marcos Memorial State University,Bacnotan,Liberal Arts & Social Sciences,Archaeology,50,"Public-private
partnership"
45,University of Southeastern Philippines,Davao,Liberal Arts & Social Sciences,Archaeology,100,"Public-private
partnership"
46,West Visayas State University,Iloilo,Liberal Arts & Social Sciences,Archaeology,67,"Public-private
partnership"
47,Mariano Marcos State University,Batac,Liberal Arts & Social Sciences,Archaeology,82,"Public-private
partnership"
48,Bohol Island State University,Bilar,Liberal Arts & Social Sciences,Archaeology,72,"Public-private
partnership"
49,San Beda University,Manila,Liberal Arts & Social Sciences,Archaeology,63,Private
50,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Liberal Arts & Social Sciences,Archaeology,48,Private
51,Bukidnon State University,Malaybalay,Liberal Arts & Social Sciences,Archaeology,87,"Public-private
partnership"
52,Liceo de Cagayan University,Cagayan de Oro,Liberal Arts & Social Sciences,Archaeology,86,Private
53,Adventist University of the Philippines,Cavite City,Liberal Arts & Social Sciences,Archaeology,87,Private
1,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,History,42,Private
2,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,History,12,"Public-private
partnership"
3,De La Salle University,Manila,Liberal Arts & Social Sciences,History,35,Private
4,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,History,90,Private
1,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Broadcast Journalism,12,"Public-private
partnership"
2,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Broadcast Journalism,42,Private
1,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Classics and Ancient History,12,"Public-private
partnership"
2,De La Salle University,Manila,Liberal Arts & Social Sciences,Classics and Ancient History,35,Private
3,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Classics and Ancient History,42,Private
4,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Classics and Ancient History,51,"Public-private
partnership"
5,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Classics and Ancient History,15,"Public-private
partnership"
6,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Classics and Ancient History,90,Private
1,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,90,Private
2,De La Salle University,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,35,Private
3,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Communications and Public Relations,42,Private
4,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Communications and Public Relations,12,"Public-private
partnership"
5,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,51,"Public-private
partnership"
6,Asian Institute of Management,Makati,Liberal Arts & Social Sciences,Communications and Public Relations,60,Private
7,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Communications and Public Relations,15,"Public-private
partnership"
8,University of Mindanao,Davao,Liberal Arts & Social Sciences,Communications and Public Relations,92,Private
9,Lyceum of the Philippines University,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,82,Private
10,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Communications and Public Relations,23,"Public-private
partnership"
11,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,50,"Public-private
partnership"
12,Polytechnic University of the Philippines,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,40,"Public-private
partnership"
13,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Communications and Public Relations,53,"Public-private
partnership"
14,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Communications and Public Relations,71,"Public-private
partnership"
15,Bulacan State University,Malolos,Liberal Arts & Social Sciences,Communications and Public Relations,52,"Public-private
partnership"
16,Adamson University,Manila,Liberal Arts & Social Sciences,Communications and Public Relations,61,Private
17,Surigao del Sur State University,Tandag,Liberal Arts & Social Sciences,Communications and Public Relations,83,"Public-private
partnership"
18,Liceo de Cagayan University,Cagayan de Oro,Liberal Arts & Social Sciences,Communications and Public Relations,86,Private
1,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Criminology and Criminal Justice,42,Private
2,De La Salle University,Manila,Liberal Arts & Social Sciences,Criminology and Criminal Justice,35,Private
3,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Criminology and Criminal Justice,12,"Public-private
partnership"
1,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Demography,51,"Public-private
partnership"
2,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Demography,12,"Public-private
partnership"
3,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Demography,15,"Public-private
partnership"
4,De La Salle University,Manila,Liberal Arts & Social Sciences,Demography,35,Private
5,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Demography,90,Private
6,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Demography,42,Private
7,University of San Carlos,Cebu,Liberal Arts & Social Sciences,Demography,61,Private
8,Angeles University Foundation,Angeles,Liberal Arts & Social Sciences,Demography,80,Private
9,Asian Institute of Management,Makati,Liberal Arts & Social Sciences,Demography,60,Private
10,Visayas State University,Baybay,Liberal Arts & Social Sciences,Demography,82,"Public-private
partnership"
11,Central Luzon State University,Science City of Munoz,Liberal Arts & Social Sciences,Demography,67,"Public-private
partnership"
12,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Demography,53,"Public-private
partnership"
13,Mapua University,Manila,Liberal Arts & Social Sciences,Demography,78,Private
14,Silliman University,Dumaguete City,Liberal Arts & Social Sciences,Demography,64,Private
15,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Demography,23,"Public-private
partnership"
16,Mindanao State University - Iligan Institute of Technology,Iligan,Liberal Arts & Social Sciences,Demography,40,"Public-private
partnership"
17,University of the Philippines in the Visayas,Iloilo,Liberal Arts & Social Sciences,Demography,12,"Public-private
partnership"
18,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Demography,71,"Public-private
partnership"
19,University of the Philippines Mindanao,Davao,Liberal Arts & Social Sciences,Demography,70,"Public-private
partnership"
20,Adventist University of the Philippines,Cavite City,Liberal Arts & Social Sciences,Demography,87,Private
21,University of Asia and the Pacific,Pasig,Liberal Arts & Social Sciences,Demography,74,Private
22,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Demography,50,"Public-private
partnership"
23,University of Mindanao,Davao,Liberal Arts & Social Sciences,Demography,92,Private
24,Central Mindanao University,Maramag,Liberal Arts & Social Sciences,Demography,74,"Public-private
partnership"
25,University of Southern Mindanao,Kabacan,Liberal Arts & Social Sciences,Demography,50,"Public-private
partnership"
26,Caraga State University,Butuan,Liberal Arts & Social Sciences,Demography,84,"Public-private
partnership"
27,West Visayas State University,Iloilo,Liberal Arts & Social Sciences,Demography,67,"Public-private
partnership"
28,Polytechnic University of the Philippines,Manila,Liberal Arts & Social Sciences,Demography,40,"Public-private
partnership"
29,Liceo de Cagayan University,Cagayan de Oro,Liberal Arts & Social Sciences,Demography,86,Private
30,Isabela State University,Echague,Liberal Arts & Social Sciences,Demography,88,"Public-private
partnership"
31,Surigao del Sur State University,Tandag,Liberal Arts & Social Sciences,Demography,83,"Public-private
partnership"
1,De La Salle University,Manila,Liberal Arts & Social Sciences,Education,35,Private
2,Philippine Normal University,Manila,Liberal Arts & Social Sciences,Education,50,"Public-private
partnership"
3,Laguna State Polytechnic University,Sta. Cruz,Liberal Arts & Social Sciences,Education,23,"Public-private
partnership"
4,University of Santo Tomas,Manila,Liberal Arts & Social Sciences,Education,90,Private
5,Ateneo de Manila University,Quezon,Liberal Arts & Social Sciences,Education,42,Private
6,University of the Philippines Diliman,Quezon,Liberal Arts & Social Sciences,Education,12,"Public-private
partnership"
7,Cebu Normal University,Cebu,Liberal Arts & Social Sciences,Education,71,"Public-private
partnership"
8,Bulacan State University,Malolos,Liberal Arts & Social Sciences,Education,52,"Public-private
partnership"
9,University of Mindanao,Davao,Liberal Arts & Social Sciences,Education,92,Private
10,University of the Philippines Manila,Manila,Liberal Arts & Social Sciences,Education,51,"Public-private
partnership"
11,Lyceum of the Philippines University,Manila,Liberal Arts & Social Sciences,Education,82,Private
12,Angeles University Foundation,Angeles,Liberal Arts & Social Sciences,Education,80,Private
13,University of the Philippines Los Banos,Los Banos,Liberal Arts & Social Sciences,Education,15,"Public-private
partnership"
14,Mindanao State University,Marawi,Liberal Arts & Social Sciences,Education,53,"Public-private
partnership"
15,Mapua University,Manila,Liberal Arts & Social Sciences,Education,78,Private
